asset_id,source_entity_id,asset_type,variant,build_scope,required,unit_count,status,is_placeholder,owner,reviewer,target_milestone,license_id,evidence
AUD_SIG_SUBJECT,SUBJECT,signature_audio,identity_cue,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
BGM_TITLE,TITLE,bgm,loop,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
BGM_S0_ROUTINE,S0_ROUTINE,bgm,loop,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
BGM_S1_SUSPICION,S1_SUSPICION,bgm,loop,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
BGM_S2_LEAK,S2_LEAK,bgm,loop,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
BGM_D5_BREAK,D5_BREAK,bgm,loop,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
BGM_S3_FRACTURE,S3_FRACTURE,bgm,loop,full_only,true,1,PLANNED,true,NOne,gatam,FULL_00_CONTENT_LOCK,TBD,
BGM_S4_CORE,S4_CORE,bgm,loop,full_only,true,1,PLANNED,true,NOne,gatam,FULL_00_CONTENT_LOCK,TBD,
BGM_S5_STAY,S5_STAY,bgm,loop,full_only,true,1,PLANNED,true,NOne,gatam,FULL_00_CONTENT_LOCK,TBD,
BGM_R0_REALITY,R0_REALITY,bgm,loop,full_only,true,1,PLANNED,true,NOne,gatam,FULL_00_CONTENT_LOCK,TBD,
BGM_CREDITS,CREDITS,bgm,loop,full_only,true,1,PLANNED,true,NOne,gatam,FULL_00_CONTENT_LOCK,TBD,
SFX_NORMAL_RESET_SLEEP,NORMAL_RESET_SLEEP,sfx,base,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
SFX_NORMAL_RESET_COMMIT,NORMAL_RESET_COMMIT,sfx,base,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
SFX_CLOCK_BELL_13,CLOCK_BELL_13,sfx,base,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
SFX_CLOCK_NETWORK_LOCK,CLOCK_NETWORK_LOCK,sfx,base,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
SFX_MIRROR_CLEAN,MIRROR_CLEAN,sfx,base,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
SFX_MIRROR_REVEAL,MIRROR_REVEAL,sfx,base,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
SFX_JOURNAL_RESTORE,JOURNAL_RESTORE,sfx,base,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
SFX_NOTEBOOK_WRITE,NOTEBOOK_WRITE,sfx,base,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
SFX_SHORTCUT_CONFIRM,SHORTCUT_CONFIRM,sfx,base,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
SFX_HARD_FAILURE_COMMIT,HARD_FAILURE_COMMIT,sfx,base,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
SFX_DOOR_LOCK,DOOR_LOCK,sfx,base,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
SFX_DOOR_UNLOCK,DOOR_UNLOCK,sfx,base,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
SFX_ITEM_PICKUP,ITEM_PICKUP,sfx,base,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
SFX_PUZZLE_VALIDATE,PUZZLE_VALIDATE,sfx,base,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
SFX_PUZZLE_REJECT,PUZZLE_REJECT,sfx,base,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
SFX_UI_FOCUS,UI_FOCUS,sfx,base,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
SFX_UI_CONFIRM,UI_CONFIRM,sfx,base,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
SFX_UI_CANCEL,UI_CANCEL,sfx,base,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
SFX_SAVE_START,SAVE_START,sfx,base,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
SFX_SAVE_COMPLETE,SAVE_COMPLETE,sfx,base,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
FONT_UI_KO,FONT_UI_KO,font,korean_ui,demo_full,true,1,PLANNED,true,210,beru,M2_DEMO_COMPLETE,TBD,
FONT_UI_LATIN,FONT_UI_LATIN,font,latin_ui,demo_full,true,1,PLANNED,true,210,beru,M2_DEMO_COMPLETE,TBD,
FONT_SYMBOL_FALLBACK,FONT_SYMBOL_FALLBACK,font,symbol_fallback,demo_full,true,1,PLANNED,true,210,beru,M2_DEMO_COMPLETE,TBD,
SHD_GLITCH_MASK,GLITCH_MASK,shader,glitch_mask,demo_full,true,1,PLANNED,true,beru,210,M2_DEMO_COMPLETE,TBD,
